2022-01-29 17:45:59.460 INFO     Starting Datasmith import
2022-01-29 17:45:59.461 INFO     loading file: C:\abotero\SkyForce\PlaneGame\art\MUNDO1.udatasmith
2022-01-29 17:45:59.461 INFO     args: {'try_update': False, 'use_logging': True, 'log_level': 'INFO'}
2022-01-29 17:45:59.781 INFO     loading texture: MUNDO1_Assets/Translucent_Glass_Sky_Reflection_.jpg
2022-01-29 17:45:59.781 INFO     loading texture: MUNDO1_Assets/Stone_Pavers_Flagstone_Gray.jpg
2022-01-29 17:45:59.781 INFO     loading texture: MUNDO1_Assets/Metal_Corrogated_Shiny.jpg
2022-01-29 17:45:59.781 INFO     loading texture: MUNDO1_Assets/Sahat.png
2022-01-29 17:45:59.781 INFO     loading texture: MUNDO1_Assets/Roofing_Shingles_GAF_Estates.jpg
2022-01-29 17:45:59.781 INFO     loading texture: MUNDO1_Assets/d.PNG
2022-01-29 17:45:59.782 INFO     loading texture: MUNDO1_Assets/Metal_Aluminum_Anodized.jpg
2022-01-29 17:45:59.782 INFO     loading texture: MUNDO1_Assets/Wallpaper_Dog_Bone.jpg
2022-01-29 17:45:59.782 INFO     loading texture: MUNDO1_Assets/Wood_01.jpg
2022-01-29 17:45:59.782 INFO     loading texture: MUNDO1_Assets/Translucent_Glass_Tinted-Translucent_Glass_Tinted]1.jpg
2022-01-29 17:45:59.782 INFO     loading texture: MUNDO1_Assets/textura-blanca-de-la-arena-19069263.jpg
2022-01-29 17:45:59.783 INFO     finished parsing the xml, doing post process
2022-01-29 17:45:59.783 INFO     linking textures
2022-01-29 17:45:59.783 INFO     linking texture Translucent_Glass_Sky_Reflection_ C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Translucent_Glass_Sky_Reflection_.jpg
2022-01-29 17:45:59.784 INFO     linking texture Stone_Pavers_Flagstone_Gray C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Stone_Pavers_Flagstone_Gray.jpg
2022-01-29 17:45:59.784 INFO     linking texture Metal_Corrogated_Shiny C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Metal_Corrogated_Shiny.jpg
2022-01-29 17:45:59.784 INFO     linking texture Sahat C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Sahat.png
2022-01-29 17:45:59.785 INFO     linking texture Roofing_Shingles_GAF_Estates C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Roofing_Shingles_GAF_Estates.jpg
2022-01-29 17:45:59.785 INFO     linking texture d C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/d.PNG
2022-01-29 17:45:59.785 INFO     linking texture Metal_Aluminum_Anodized C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Metal_Aluminum_Anodized.jpg
2022-01-29 17:45:59.786 INFO     linking texture Wallpaper_Dog_Bone C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Wallpaper_Dog_Bone.jpg
2022-01-29 17:45:59.786 INFO     linking texture Wood_01 C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Wood_01.jpg
2022-01-29 17:45:59.786 INFO     linking texture Translucent_Glass_Tinted-Translucent_Glass_Tinted_1 C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/Translucent_Glass_Tinted-Translucent_Glass_Tinted]1.jpg
2022-01-29 17:45:59.787 INFO     linking texture textura-blanca-de-la-arena-19069263 C:\abotero\SkyForce\PlaneGame\art/MUNDO1_Assets/textura-blanca-de-la-arena-19069263.jpg
2022-01-29 17:45:59.787 INFO     linking materials
2022-01-29 17:45:59.787 INFO     linking material: Default-G7a1920d61156abc05a60135aefe8bc67
2022-01-29 17:45:59.787 INFO     linking material: Object_LightGray_-G3ba7f152ee02fcf2fc050d696fc9691a
2022-01-29 17:45:59.787 INFO     linking material: Translucent_Glass_Sky_Reflection-L5bf802ccf0122cd30cbbcc2efbb15626
2022-01-29 17:45:59.788 ERROR    {'name': 'Translucent_Glass_Sky_Reflection_', 'filename': 'Translucent_Glass_Sky_Reflection_.jpg', 'path': 'MUNDO1_Assets/Translucent_Glass_Sky_Reflection_.jpg', 'image': bpy.data.images['Translucent_Glass_Sky_Reflection_.jpg']}
2022-01-29 17:45:59.788 INFO     linking material: Color_009-G5b4467b76700e0fa86070f5ce8878854
2022-01-29 17:45:59.788 INFO     linking material: Color_005-G32cf04060c3fd4414a61e19f84267b65
2022-01-29 17:45:59.788 INFO     linking material: Color_000-G1cefcbfd5c337093cc7da225869414e8
2022-01-29 17:45:59.788 INFO     linking material: 0061_OliveDrab-G6f9d284fff8135194781bd50ae0d1d23
2022-01-29 17:45:59.788 INFO     linking material: 0042_Sienna-Ge0ad4feb4c9736fbc1c60f24b8a458e7
2022-01-29 17:45:59.789 INFO     linking material: Color_A12-G63bc44817d186013bfc1be66f234fc5a
2022-01-29 17:45:59.789 INFO     linking material: Color_A20-Gadcfab2760d46b37a136b438631e9112
2022-01-29 17:45:59.789 INFO     linking material: 0107_MidnightBlue-Gca344285bea7da07c9a6236f499047fc
2022-01-29 17:45:59.789 INFO     linking material: Color_D04-Gf6f5f11f1e57408a7e5cc189ff866063
2022-01-29 17:45:59.789 INFO     linking material: Color_A25-G8f9d52d2c0bbbe3a252bf1aa214c3aed
2022-01-29 17:45:59.789 INFO     linking material: 0053_Ivory-Gd035794232fa66b8ef23dec7e5a55c94
2022-01-29 17:45:59.790 INFO     linking material: Stone_Pavers_Flagstone_Gray-L94d67f9f10f5b2072c27f13a22641fd2
2022-01-29 17:45:59.790 ERROR    {'name': 'Stone_Pavers_Flagstone_Gray', 'filename': 'Stone_Pavers_Flagstone_Gray.jpg', 'path': 'MUNDO1_Assets/Stone_Pavers_Flagstone_Gray.jpg', 'image': bpy.data.images['Stone_Pavers_Flagstone_Gray.jpg']}
2022-01-29 17:45:59.790 INFO     linking material: Metal_Corrogated_Shiny-L374bc730a4e78316fb36ca92c3951b2d
2022-01-29 17:45:59.790 ERROR    {'name': 'Metal_Corrogated_Shiny', 'filename': 'Metal_Corrogated_Shiny.jpg', 'path': 'MUNDO1_Assets/Metal_Corrogated_Shiny.jpg', 'image': bpy.data.images['Metal_Corrogated_Shiny.jpg']}
2022-01-29 17:45:59.790 INFO     linking material: Object_auto_2-Ge462f8bc6969915209bbf31e9966a583
2022-01-29 17:45:59.790 INFO     linking material: Object_auto_3-G2dc90fe065d9ddaf2a419bbce9eb2d91
2022-01-29 17:45:59.791 INFO     linking material: 0034_Wheat-Gc7bde7ffdf16066a61f4cd5055303d73
2022-01-29 17:45:59.791 INFO     linking material: 0132_LightGray-Gebcf452bddb27be7d8ad28cfe1f5532e
2022-01-29 17:45:59.791 INFO     linking material: 0082_LightSeaGreen-G0716c224f6387130099a880ceb325bb2
2022-01-29 17:45:59.791 INFO     linking material: 0078_DarkSlateGray-G3182a9b509eab7767bccbde1669b8824
2022-01-29 17:45:59.791 INFO     linking material: 0135_DarkGray-Gb4ca666c4347886458857469a845a29e
2022-01-29 17:45:59.791 INFO     linking material: Color_F07-Ge488362b116998adb159bd22ef0031e0
2022-01-29 17:45:59.791 INFO     linking material: Color_H07-Gfe35e56f1dec82d99bcbfc3279160e4d
2022-01-29 17:45:59.792 INFO     linking material: 0046_Gold-G0862c16d4d1e89c26d0a4b89367fa622
2022-01-29 17:45:59.792 INFO     linking material: Object_Black_-Gdf084f63faa1eab2aecf0d3bdc6e5df8
2022-01-29 17:45:59.792 INFO     linking material: Object_DarkGoldenrod_-Ga4229d8b61082440340a80555d902479
2022-01-29 17:45:59.792 INFO     linking material: Color_C05-G93a6e01a48756392b0e57f812039df92
2022-01-29 17:45:59.792 INFO     linking material: Color_C25-G16c1343c4977054cfc568cba8a842d61
2022-01-29 17:45:59.792 INFO     linking material: Sahat1-Lc0ef1943578c4f9fe1e2df1d1ea604c0
2022-01-29 17:45:59.793 ERROR    {'name': 'Sahat', 'filename': 'Sahat.png', 'path': 'MUNDO1_Assets/Sahat.png', 'image': bpy.data.images['Sahat.png']}
2022-01-29 17:45:59.793 INFO     linking material: Object_Ivory_-G52711d8dfee6192be9c3691b5d10ebdb
2022-01-29 17:45:59.793 INFO     linking material: Color_D07-G5671957695cb2af60c67355877758046
2022-01-29 17:45:59.793 INFO     linking material: Roofing_Shingles_GAF_Estates-L1b9d5952140eb11a34c0a5ffb787fa8e
2022-01-29 17:45:59.794 ERROR    {'name': 'Roofing_Shingles_GAF_Estates', 'filename': 'Roofing_Shingles_GAF_Estates.jpg', 'path': 'MUNDO1_Assets/Roofing_Shingles_GAF_Estates.jpg', 'image': bpy.data.images['Roofing_Shingles_GAF_Estates.jpg']}
2022-01-29 17:45:59.794 INFO     linking material: CoolGray8-G4d54840ae3f9d063f778c49bb1eb648e
2022-01-29 17:45:59.794 INFO     linking material: 0043_SaddleBrown-G5c241f43a2a7f166f252833a7cab7e6a
2022-01-29 17:45:59.794 INFO     linking material: 0040_Peru-G38eea238686efc62212ab8640fb60123
2022-01-29 17:45:59.794 INFO     linking material: d-L8277e0910d750195b448797616e091ad
2022-01-29 17:45:59.795 ERROR    {'name': 'd', 'filename': 'd.PNG', 'path': 'MUNDO1_Assets/d.PNG', 'image': bpy.data.images['d.PNG']}
2022-01-29 17:45:59.795 INFO     linking material: Metal_Aluminum_Anodized_2-L7bae8898f84a1d95480791686b7682dd
2022-01-29 17:45:59.795 ERROR    {'name': 'Metal_Aluminum_Anodized', 'filename': 'Metal_Aluminum_Anodized.jpg', 'path': 'MUNDO1_Assets/Metal_Aluminum_Anodized.jpg', 'image': bpy.data.images['Metal_Aluminum_Anodized.jpg']}
2022-01-29 17:45:59.795 INFO     linking material: Color_D08-G162000e89d38bb1fdac5fc82cae91d7f
2022-01-29 17:45:59.795 INFO     linking material: Color_B05-G080145c6743103efe98dc133dd9b29f6
2022-01-29 17:45:59.796 INFO     linking material: Color_D05-Gbfb9f789cd320bdbb75579e70bbc93fc
2022-01-29 17:45:59.796 INFO     linking material: Wallpaper_Dog_Bone-L445df8e66c5beaeb9334b61f01e2bb5b
2022-01-29 17:45:59.796 ERROR    {'name': 'Wallpaper_Dog_Bone', 'filename': 'Wallpaper_Dog_Bone.jpg', 'path': 'MUNDO1_Assets/Wallpaper_Dog_Bone.jpg', 'image': bpy.data.images['Wallpaper_Dog_Bone.jpg']}
2022-01-29 17:45:59.796 INFO     linking material: Wood_Veneer_01-L54806d255e87528df2ba9898e4957c4d
2022-01-29 17:45:59.796 ERROR    {'name': 'Wood_01', 'filename': 'Wood_01.jpg', 'path': 'MUNDO1_Assets/Wood_01.jpg', 'image': bpy.data.images['Wood_01.jpg']}
2022-01-29 17:45:59.797 INFO     linking material: Object_31-G0d929f1ec8da7968f5c15d554180487b
2022-01-29 17:45:59.797 INFO     linking material: Object_33-Ge3ed461aab495a2f3253685c432a2fa2
2022-01-29 17:45:59.797 INFO     linking material: Object_36-Gab228dd5e5170ff759200ae714c6743c
2022-01-29 17:45:59.797 INFO     linking material: Object_Ivory_1-G7d14b4a5a7312d6825fbfa246f353538
2022-01-29 17:45:59.797 INFO     linking material: Object_Charcoal_2-G2ecbc22afb35a5777385c62220ade914
2022-01-29 17:45:59.797 INFO     linking material: Playground_Green-Gfea1ca360e970ef15019ec447f92976a
2022-01-29 17:45:59.798 INFO     linking material: Playground_Blue-Ga9106dd519643e972b464c985771aa47
2022-01-29 17:45:59.798 INFO     linking material: Translucent_Glass_Tinted_1-Ld8c3dbeee00fc2978295981fbc22b0e5
2022-01-29 17:45:59.798 ERROR    {'name': 'Translucent_Glass_Tinted-Translucent_Glass_Tinted_1', 'filename': 'Translucent_Glass_Tinted-Translucent_Glass_Tinted]1.jpg', 'path': 'MUNDO1_Assets/Translucent_Glass_Tinted-Translucent_Glass_Tinted]1.jpg', 'image': bpy.data.images['Translucent_Glass_Tinted-Translucent_Glass_Tinted]1.jpg']}
2022-01-29 17:45:59.798 INFO     linking material: Object_46-Laaeea56237c6786cd66f6456e770be3a
2022-01-29 17:45:59.798 ERROR    {'name': 'textura-blanca-de-la-arena-19069263', 'filename': 'textura-blanca-de-la-arena-19069263.jpg', 'path': 'MUNDO1_Assets/textura-blanca-de-la-arena-19069263.jpg', 'image': bpy.data.images['textura-blanca-de-la-arena-19069263.jpg']}
2022-01-29 17:45:59.799 INFO     linking material: Color_E05-G93d48b5c3c89e9a364d34fdca9c482d6
2022-01-29 17:45:59.799 INFO     linking material: Translucent_Glass_Gray-G2e0e46024c0f1b5f5d0496be65a84811
2022-01-29 17:45:59.799 INFO     linking material: Color_E01-Gbf438e5186c89917d638940f202ccfc9
2022-01-29 17:45:59.799 INFO     linking meshes
2022-01-29 17:45:59.799 INFO     linking mesh:Mdb5fe28d4759719391f400b287f8ac29_1
2022-01-29 17:45:59.800 INFO     linking mesh:Ma2893dfa9b7e93ffd55f4623bd78ef9b_1
2022-01-29 17:45:59.800 INFO     linking mesh:Mb5362548c6c077c5938f77c376d63748_1
2022-01-29 17:45:59.800 INFO     linking mesh:M540f81bb92ffdf1639229b199f68bdeb_1
2022-01-29 17:45:59.800 INFO     linking mesh:Mfff77e7bb0302192c53b069c3ce3c518_1
2022-01-29 17:45:59.800 INFO     linking mesh:Mc151a0706917b636148a6813aaf5394f_1
2022-01-29 17:45:59.801 INFO     linking mesh:M4734f3a69fa80efdd494172004932e83_1
2022-01-29 17:45:59.801 INFO     linking mesh:M4734f3a69fa80efdd494172004932e83_2
